,source,target,value
0,France,Russia,6
1,Russia,Germany,20
2,Germany,Austria,11
3,Austria,Hungary,6
4,Hungary,Bulgaria,6
5,Bulgaria,Russia,6
6,Germany,Russia,6
7,Germany,Italy,12
8,Italy,Germany,14
9,Austria,Germany,6
10,Germany,Spain,2
11,Spain,France,1
12,France,Poland,10
13,Poland,France,5
14,France,Germany,11
15,Germany,Poland,12
16,Poland,Germany,12
17,Germany,Estonia,5
18,Estonia,Latvia,6
19,Latvia,Lithuania,6
20,Lithuania,Finland,12
21,Finland,Germany,11
22,Poland,Netherlands,6
23,Netherlands,Luxembourg,6
24,Luxembourg,Belgium,4
25,Belgium,Denmark,5
26,Denmark,Norway,6
27,Norway,Denmark,6
28,Denmark,Sweden,6
29,Sweden,Germany,6
30,Germany,France,15
31,France,Italy,4
32,Greece,Albania,6
33,Albania,Greece,6
34,Greece,Ukraine,2
35,Ukraine,Belarus,6
36,Belarus,Libya,3
37,Libya,Egypt,11
38,Egypt,Libya,5
39,Egypt,Iraq,5
40,Japan,Germany,12
41,Germany,Japan,13
42,Japan,Russia,10
43,Germany,Morocco,1
44,Morocco,Algeria,6
45,Algeria,Italy,6
46,Japan,Thailand,6
47,Thailand,Singapore,6
48,Singapore,Japan,5
49,Japan,Philippines,6
50,Philippines,Japan,6
51,Japan,Solomon Islands,3
52,Solomon Islands,Japan,6
53,Japan,India,6
54,India,Japan,6
55,Russia,France,6
56,France,India,6
57,India,Pakistan,15
58,Pakistan,Israel,6
59,Israel,South Africa,6
60,South Africa,Israel,6
61,Israel,Libya,5
62,Libya,Iran,6
63,Iran,Germany,3
64,France,Japan,4
65,Papua New Guinea,India,3
66,Pakistan,Philippines,5
67,Philippines,Laos,5
68,Laos,Cambodia,6
69,Cambodia,Kenya,6
70,Kenya,Ghana,6
71,Ghana,Seychelles,6
72,Latvia,Estonia,6
73,Estonia,Lithuania,6
74,Finland,Romania,6
75,Romania,Albania,5
76,Albania,Bulgaria,6
77,Bulgaria,Poland,6
78,Poland,Romania,6
79,Romania,Hungary,6
80,Hungary,Mongolia,5
81,Mongolia,Cuba,6
82,Cuba,United States,7
83,United States,Canada,5
84,Canada,Australia,6
85,Australia,Vietnam,4
86,Cambodia,Vietnam,4
87,Vietnam,Cuba,5
88,United States,Russia,3
89,Russia,Japan,6
90,Germany,Norway,6
91,Italy,Greece,2
92,Italy,Japan,6
93,Romania,Russia,6
94,Lebanon,India,2
95,India,Singapore,5
